city_state,state_clean,city_clean,shooting_count,avg_victim_age,pct_male,pct_minority,pct_unarmed,pct_mental_illness,pct_body_camera,avg_city_population,avg_police_dollars,avg_police_city_dollars,avg_police_cnty_dollars,years_with_data,latest_year,shooting_rate_per_100k,police_budget_per_capita,budget_tercile,shooting_count_tercile,shooting_rate_tercile,budget_category,shooting_frequency,population_size,shooting_rate_category,unarmed_category,minority_category,mental_illness_category
"Yonkers, NY",NY,Yonkers,2,36,1,0.5,0.5,0,0,194624.39024390245,382396829.26829267,346264878.0487805,36132926.829268284,41,2017,1.0276204321018596,1964.7939746353197,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,Many_Unarmed,Medium_Minority,Rare_Mental
"Greensboro, NC",NC,Greensboro,2,34,1,0.5,0,0.5,1,217341.24390243902,299110731.70731711,246186585.36585367,52923414.634146348,41,2017,0.92021190460185631,1376.2262805562257,2,1,1,Medium_Budget,Few_Shootings,Medium,Low_Rate,None_Unarmed,Medium_Minority,Frequent_Mental
"Aurora, IL",IL,Aurora,2,40.5,1,1,0,0,0,134178.58536585368,305743414.63414645,276469756.097561,29274878.048780486,41,2017,1.4905508166946051,2278.6304819096213,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Mobile, AL",AL,Mobile,3,28.333333333333332,1,0.33333333333333331,0,0.33333333333333331,0,199134.24390243902,269259268.29268295,215935365.85365859,53323902.439024389,41,2017,1.5065214004426968,1352.1494998348951,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Medium_Minority,Frequent_Mental
"Huntington Beach, CA",CA,Huntington Beach,3,28,1,0,0,0.66666666666666663,0,183720.48780487807,381492439.02439022,310422195.12195128,70831951.219512209,41,2017,1.6329153247111861,2076.4828331479152,2,2,1,Medium_Budget,Medium_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Frequent_Mental
"Buffalo, NY",NY,Buffalo,3,35,1,1,0,0.33333333333333331,0.33333333333333331,309153.02439024393,320898048.78048772,282474390.24390244,38423170.73170732,41,2017,0.97039322384667959,1037.9909736073553,1,2,1,Low_Budget,Medium_Shootings,Medium,Low_Rate,None_Unarmed,High_Minority,Frequent_Mental
"Madison, WI",WI,Madison,3,41,1,0.33333333333333331,0.33333333333333331,0.33333333333333331,0,204659.70731707316,315908292.68292677,248594878.0487805,67312195.121951237,41,2017,1.465847889322049,1543.5783468286677,2,2,1,Medium_Budget,Medium_Shootings,Medium,Low_Rate,Many_Unarmed,Medium_Minority,Frequent_Mental
"Columbus, GA",GA,Columbus,3,37,1,0.33333333333333331,0,0,0,183528.04878048779,196914146.34146339,196914146.34146339,,41,2017,1.6346275242037835,1072.9376117161594,1,1,1,Low_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Medium_Minority,Rare_Mental
"Hialeah, FL",FL,Hialeah,3,41.5,1,0.33333333333333331,0,0,0,199198.8048780488,406545853.65853655,201781463.41463414,204762926.82926831,41,2017,1.5060331319942533,2040.9050842821441,2,2,1,Medium_Budget,Medium_Shootings,Small,Low_Rate,None_Unarmed,Medium_Minority,Rare_Mental
"Lincoln, NE",NE,Lincoln,4,33.25,1,0.25,0,0,0,216473.80487804877,158367804.87804881,127557317.07317072,30810000,41,2017,1.8477986296094406,731.5795320697847,1,2,1,Low_Budget,Medium_Shootings,Medium,Low_Rate,None_Unarmed,Low_Minority,Rare_Mental
